,transforms,method,threshold,hits,wanted,generated,precision,recall
0,a_l_l,cfbf0b1,2,3329,6589,8593,0.3874083556383103,0.5052359993929276
1,a_l_l,cfbf0b1,3,1975,3881,8593,0.22983824042825557,0.5088894614790003
2,a_l_l,cfbf0b1,4,540,1047,8593,0.06284184801582683,0.5157593123209169
3,a_l_l,1652d57,2,3298,6589,10135,0.325407005426739,0.5005311883442101
4,a_l_l,1652d57,3,1960,3881,10135,0.19338924518993586,0.505024478227261
5,a_l_l,1652d57,4,533,1047,10135,0.05259003453379378,0.5090735434574976
6,a_l_l,276cf30,2,3298,6589,10135,0.325407005426739,0.5005311883442101
7,a_l_l,276cf30,3,1960,3881,10135,0.19338924518993586,0.505024478227261
8,a_l_l,276cf30,4,533,1047,10135,0.05259003453379378,0.5090735434574976
9,a_l_l,e38b912,2,3304,6589,10198,0.32398509511668955,0.5014417969342844
10,a_l_l,e38b912,3,1964,3881,10198,0.19258678172190627,0.5060551404277248
11,a_l_l,e38b912,4,533,1047,10198,0.052265150029417534,0.5090735434574976
12,a_l_l,3ba4ffa,2,5359,6589,34960,0.15328947368421053,0.8133252390347548
13,a_l_l,3ba4ffa,3,3210,3881,34960,0.09181922196796338,0.8271064158721979
14,a_l_l,3ba4ffa,4,834,1047,34960,0.0238558352402746,0.7965616045845272
15,a_l_l,2021,2,2039,6589,10680,0.19091760299625468,0.30945515252693884
16,a_l_l,2021,3,1227,3881,10680,0.11488764044943821,0.31615562999227004
17,a_l_l,2021,4,267,1047,10680,0.025,0.25501432664756446
18,a_l_l,rdkit,2,5354,6547,53332,0.10039000975024376,0.8177791354819001
19,a_l_l,rdkit,3,3214,3855,53332,0.060264006600165,0.8337224383916991
20,a_l_l,rdkit,4,827,1031,53332,0.01550663766594165,0.8021338506304558
